channel,unionname,org,name of the channel if differs from unionname,country,channel_id,channel_url,created_at,description,videos_count,subs_count,views_count
solidaridadobrera8532,Solidaridad Obrera,,,spain,UCYs27_ZODCD8LBFlvqPpCpA,https://www.youtube.com/channel/UCYs27_ZODCD8LBFlvqPpCpA,2017-11-02 08:17:20+00:00,"En este canal estaremos difundiendo semanalmente las ideas anti autoritarias en el movimiento obrero organizado.
Secciones del canal:
-Pensadores y activistas del movimiento obrero.
-Resumen gremial semanal (informe a cargo del programa radial la voz obrera de Cordoba)
-Actualidad gremial, social, y anti-represiva a cargo del programa radial la conquista del pan.
-Payadas combativas a cargo de Wilson el Payador
-Artículos del Periódico Organización Obrera (Órgano de Difusión de la FORA-AIT)
-Y mas...
Suscribité para recibir las novedades que estaremos subiendo.
ENLACES DE INTERÉS:
Facebook Solidaridad Obrera: 
https://www.facebook.com/solidaridadobrera.1/
Programa de radio: LA CONQUISTA DEL PAN
https://www.facebook.com/La-Conquista-del-Pan-1192205187463
WILSON EL PAYADOR:
https://www.youtube.com/channel/UC0za...
CORREPPI (Coordinadora contra la represión policial e institucional):
http://www.correpi.lahaine.org/",70,690,34319
elasindikatua1720,Euskal Langileen Alkartasuna (ELA),,ELA sindikatua,spain,UChJ_2d_1dHoJGLX5C2IpZAQ,https://www.youtube.com/channel/UChJ_2d_1dHoJGLX5C2IpZAQ,2016-06-02 07:59:32+00:00,"ELA sindikatuaren ikus-entzunezkoen kanala. Canal audiovisual del sindicato ELA.
Bideo gehiago Manu Robles-Arangiz fundazioaren kanalean. 
Más vídeos en el canal de la fundación Manu Robles-Arangiz.",263,481,115501
intersindicalrm,La Intersindical Región Murciana - Sindicato Asambleario,,,spain,UCxFOCIZZk2DzQfvYxtx8r0A,https://www.youtube.com/channel/UCxFOCIZZk2DzQfvYxtx8r0A,2012-03-14 09:46:40+00:00,La Intersindical Región Murciana - Sindicato Asambleario,102,86,7502
IntersindicalCsc,La Intersindical CSC,,,spain,UChIIWUMTpOCMYo1XBVZSQaw,https://www.youtube.com/channel/UChIIWUMTpOCMYo1XBVZSQaw,2012-06-21 12:18:24+00:00,"Treball | República | Justícia Social 
El sindicat nacional i de classe de Catalunya


",83,497,15133
ccoo,Comisiones Obreras,CCOO,Canal confederal de CCOO,spain,UCO87O2tH97RqOg-TqoisEFA,https://www.youtube.com/channel/UCO87O2tH97RqOg-TqoisEFA,2005-12-20 02:42:11+00:00,Canal de video de Comisiones Obreras- CCOO http://www.ccoo.es,2281,6870,916244
ccooandalucia,CCOO Andalucía,CCOO,,spain,UCKYlQC4IZI8PKFY44IVP2MA,https://www.youtube.com/channel/UCKYlQC4IZI8PKFY44IVP2MA,2008-04-02 14:54:13+00:00,Bienvenido al canal multimedia de CCOO de Andalucía,1047,1760,916170
ccootvbalears1757,CCOO TV BALEARS,CCOO,,spain,UCA3vRWcs4OGyKEILyyQtArQ,https://www.youtube.com/channel/UCA3vRWcs4OGyKEILyyQtArQ,2018-02-02 14:44:28+00:00,,114,20,2129
ccoocyl,ccoocyl,CCOO,,spain,UC2REAXAtnWaj2sU8awATRfw,https://www.youtube.com/channel/UC2REAXAtnWaj2sU8awATRfw,2010-07-14 07:25:46+00:00,"Canal de vídeo de CCOO Castilla y León. Aquí encontrarás la información gráfica que vamos elaborando sobre actividades, recomendaciones o declaraciones de nuestros responsables sindicales. También puedes encontrar nuestros vídeos y fotografías en: https://castillayleon.ccoo.es/Multimedia",388,329,60552
CCOOCeuta,CCOOCeuta,CCOO,,spain,UC1CjD-jLdGafUiqiQ86DNvQ,https://www.youtube.com/channel/UC1CjD-jLdGafUiqiQ86DNvQ,2009-03-19 19:37:59+00:00,"CCOO Ceuta
http://www.ceuta.ccoo.es",104,63,6758
snccoo,snccoo,CCOO,,spain,UCNV2RJPO-WB6E96ZM8HypUQ,https://www.youtube.com/channel/UCNV2RJPO-WB6E96ZM8HypUQ,2007-10-19 10:50:37+00:00,O Sindicato Nacional de CCOO de Galicia é unha organización sindical de clase legalmente constituída en 1978. | Conta oficial.,160,126,14381
comisionesobrerasmelilla8862,Comisiones Obreras Melilla,CCOO,,spain,UC0fPYeWs9_QOOV6SMjoCh0A,https://www.youtube.com/channel/UC0fPYeWs9_QOOV6SMjoCh0A,2016-03-08 12:17:16+00:00,"Canal creado para denunciar todas las injusticias, deficiencias y en definitiva todo lo que a nuestro parecer, tiene que ser puesto en conocimiento de la ciudadanía de Melilla.",4,6,172
CCOOPValencia,CCOOPV,CCOO,,spain,UCI6OEBils2HEiw7b1PveeqA,https://www.youtube.com/channel/UCI6OEBils2HEiw7b1PveeqA,2020-04-16 07:31:35.873064+00:00,Vídeos de Comissions Obreres del País Valencià.,110,673,15357
comisionesobrerasar,CCOO Aragón,CCOO,,spain,UC1KWBRYUWRdGfBr5OIXziqw,https://www.youtube.com/channel/UC1KWBRYUWRdGfBr5OIXziqw,2010-04-19 08:15:58+00:00,,518,996,305201
CCOO_Canarias,CCOO CANARIAS,CCOO,,spain,UCVQNEfZvoG0O0rZAdqeVzHQ,https://www.youtube.com/channel/UCVQNEfZvoG0O0rZAdqeVzHQ,2019-05-15 12:33:43+00:00,"Cuenta oficial de CCOO Canarias. Defensa de los derechos de las personas trabajadoras. Por una sociedad más justa, democrática y participativa. El poder de #CambiarLasCosas 
",143,421,5249
ccoocastillalamancha,CCOO Castilla-La Mancha,CCOO,,spain,UCgqg2TrVA2h02O7SMl-a0kA,https://www.youtube.com/channel/UCgqg2TrVA2h02O7SMl-a0kA,2013-09-26 08:30:04+00:00,"En este canal iremos compartiendo la actualidad de las CCOO de Castilla-La Mancha y todas aquellas noticias que tengan que ver con la defensa de los derechos de las personas de nuestra región en sus relaciones laborales, así como las propuestas e iniciativas para que aquellas personas que se encuentren en situación de desempleo y quieran trabajar puedan poder tener opciones a conseguirlo.",439,223,55061
CCOODELHABITAT,CCOO DEL HÁBITAT,CCOO,,spain,UCQPwfVeV7FX-e-edrUiOWGQ,https://www.youtube.com/channel/UCQPwfVeV7FX-e-edrUiOWGQ,2016-02-10 09:50:13+00:00,"Este es el canal oficial de CCOO del Hábitat (antigua CCOO de Construcción y Servicios).
Aquí podrás ver los vídeos de los actos, eventos y manifestaciones en lo que participa la Federación.",158,1020,174119
CCOODELARIOJA,CCOO de La Rioja,CCOO,,spain,UCe7R06bSQSkIs0CWN8bj4ww,https://www.youtube.com/channel/UCe7R06bSQSkIs0CWN8bj4ww,2012-11-16 10:22:29+00:00,Videos realizados por CCOO de La Rioja para difundir e informar de la actualidad que no se ve en los medios convencionales.,89,32,6884
pensionistasdeccoo4567,PENSIONISTAS DE CCOO,CCOO,,spain,UCOqW1k4Gs8oP558m7bFtWuQ,https://www.youtube.com/channel/UCOqW1k4Gs8oP558m7bFtWuQ,2017-05-31 10:58:38+00:00,,53,224,5414
CCOOCatalunya,CCOOCatalunya,CCOO,,spain,UCHdnL11hEUKAG5L7oPnNa_w,https://www.youtube.com/channel/UCHdnL11hEUKAG5L7oPnNa_w,2010-03-05 17:09:43+00:00,,1576,2360,507125
FECCOOestatal,FECCOOestatal,CCOO,,spain,UCp1p4UMAEQErg42TiEVOjXA,https://www.youtube.com/channel/UCp1p4UMAEQErg42TiEVOjXA,2013-05-06 15:05:09+00:00,Canal de vídeo de la Federación Estatal de Enseñanza de CCOO,247,389,134449
ccooextremadura1691,CCOO Extremadura,CCOO,,spain,UCbNj6gfUwh9a_DnRhljF-bg,https://www.youtube.com/channel/UCbNj6gfUwh9a_DnRhljF-bg,2019-03-20 14:44:55+00:00,"CCOO de Extremadura es una organización sindical democrática, de clase e independiente, que representa y defiende los intereses de los trabajadores y trabajadoras en el terreno laboral, económico y social.",179,36,4762
FSSCCOO,FSS-CCOO,CCOO,,spain,UCRVdfVE0veXtziTiWKrOx1w,https://www.youtube.com/channel/UCRVdfVE0veXtziTiWKrOx1w,2015-09-10 11:09:42+00:00,Canal de vídeo en YouTube de la FSS-CCOO,331,303,42920
CCOOMadrid,CCOO Madrid,CCOO,,spain,UCZjTLpyNcGwBLxdYT1qHsCA,https://www.youtube.com/channel/UCZjTLpyNcGwBLxdYT1qHsCA,2006-12-05 14:01:43+00:00,Videos publicados por la Secretaría de Comunicación de CCOO de Madrid,1366,2180,721174
ccoodeindustria7192,CCOO de Industria,CCOO,,spain,UC0pClZQvuBYpnTdT1zr9FiA,https://www.youtube.com/channel/UC0pClZQvuBYpnTdT1zr9FiA,2015-10-19 10:30:20+00:00,"Canal de CCOO Industria, aquí encontraras los vídeos de noticias, actos, manifestaciones, que realizamos.",242,549,83565
ccoonavarra,ccoo navarra,CCOO,,spain,UCV1r5zl_ciiVSl5LeMV_O5g,https://www.youtube.com/channel/UCV1r5zl_ciiVSl5LeMV_O5g,2012-04-03 10:33:50+00:00,CCOO es un sindicato de clase que lucha por defender los derechos sociales y laborales de todos los trabajadores y trabajadoras.,108,62,10489
fscccoo,FSC-CCOO,CCOO,,spain,UC9j0pT5Vnio7jdKMm3rmmvw,https://www.youtube.com/channel/UC9j0pT5Vnio7jdKMm3rmmvw,2012-12-14 20:40:15+00:00,Canal de la Federación de Servicios a la Ciudadanía de CCOO.  FSC-CCOO,393,1490,331954
unionnacionaldetrabajadore5185,Unión Nacional de Trabajadores (UNT),UNT,,spain,UCbSgCVi21DBece6svY4Lauw,https://www.youtube.com/channel/UCbSgCVi21DBece6svY4Lauw,2016-03-20 17:59:11+00:00,"En este canal UNT incluirá vídeos de interés sindical y laboral, así como conferencias, actos públicos u otros de opinión y de tipo jurídico, divulgativo o cultural.",34,171,5325
SATSESindicato,Sindicato de Enfermería (SATSE),,,spain,UCGwopaJQurNskS-3HWuF2pw,https://www.youtube.com/channel/UCGwopaJQurNskS-3HWuF2pw,2015-04-27 10:08:34+00:00,"Es hora de que se escuche la voz de las enfermeras. Entre todos podemos cambiar las cosas

Síguenos y participa en: 

WEB http://www.satse.es/ ✔
TWITTER https://twitter.com/Sindicato_SATSE  ✔
FACEBOOK http://www.facebook.com/sindicatoenfermeria ✔
INSTAGRAM https://www.instagram.com/sindicatosatse/ ✔",89,6540,2959265
AUGuardiasCiviles,Asociación Unificada de Guardias Civiles (AUGC),,AUGC GUARDIA CIVIL,spain,UCs6NyVW1aLi0gBggPheDETQ,https://www.youtube.com/channel/UCs6NyVW1aLi0gBggPheDETQ,2014-09-22 17:22:09+00:00,"La Asociación Unificada de Guardias Civiles trabaja desde 1994 defendiendo los derechos de las funcionarias y funcionarios de la Guardia Civil. 
Los miembros de la Guardia Civil tienen plenamente reconocido el derecho constitucional a la libertad de asociación, por tanto cualquier guardia civil tiene derecho a pertenecer a nuestra organización. 
AUGC es la única asociación de guardias civiles con implantación real en todo el territorio nacional y a ella pertenecen más de 31.000 hombres y mujeres, constituyendo el colectivo de policías más numeroso de España. 
AUGC es la única heredera de los movimientos clandestinos sindicales y asociativos en el seno de la Guardia Civil que desde la transición española llevan trabajando por dignificar y conquistar de forma efectiva, democrática y responsable los derechos socio-laborales del personal de la Guardia Civil.
AUGC es hoy una organización representativa en el seno del Consejo de la Guardia Civil

Visita: www.augc.org / augc app",729,2740,902602
anpesedenacional7838,Asociación Nacional de Profesionales de la Enseñanza (ANPE),,ANPE Sede Nacional,spain,UCnqMdWGilzdlqSygCfm4xXg,https://www.youtube.com/channel/UCnqMdWGilzdlqSygCfm4xXg,2016-09-08 15:55:59+00:00,Información sobre la educación pública,166,461,34565
sindicatocobas,Comisiones de Base,,Comisiones de Base co.bas,spain,UCeJ3mPSW9jKtbcZHHxX5GZg,https://www.youtube.com/channel/UCeJ3mPSW9jKtbcZHHxX5GZg,2008-08-05 07:39:36+00:00,Videos sobre la actividad sindical de co.bas,77,137,52875
STESIntersindical,Sindicatos de Trabajadores de la Enseñanza,,STES Intersindical,spain,UCvE-ZmGsFFr_9TbsP4HmnGg,https://www.youtube.com/channel/UCvE-ZmGsFFr_9TbsP4HmnGg,2013-04-08 18:48:10+00:00,"Canal de vídeo de la Confederación de STEs, Sindicatos de Trabajadores y Trabajadores de la Enseñanza - Intersindical",17,126,7320
ESK_sindikatua,Ezker Sindikalaren Konbergentzia (ESK),,Ezker Sindikalaren Konbergentzia (ESK),spain,UCLtr3IBuTmlAq-l95sIweXA,https://www.youtube.com/channel/UCLtr3IBuTmlAq-l95sIweXA,2015-03-05 22:35:30+00:00,Este es el canal de Youtube de ESK sindikatua. Hau da ESK sindikatuaren Youtube kanala.,218,886,93170
FETICOtube,Confederación Sindical Independiente Fetico,,,spain,UC17zOAK0hN3f_l2CK8D_-8Q,https://www.youtube.com/channel/UC17zOAK0hN3f_l2CK8D_-8Q,2010-06-02 08:53:12+00:00,Perfil oficial de la Confederación Sindical Independiente Fetico. Un punto de encuentro para que nuestros compañeros/ras estén al día de nuestra actividad sindical.,201,1740,271925
labsindikatua,Langile Abertzaleen Batzordeak (LAB),,LAB Sindikatua,spain,UCRkAMlkXksj4ZYLaGDP7PYw,https://www.youtube.com/channel/UCRkAMlkXksj4ZYLaGDP7PYw,2007-03-07 07:33:14+00:00,,1071,2060,1027673
sindicatootras580,Organización de Trabajadoras Sexuales (OTRAS),,Sindicato OTRAS,spain,UCat40E88Mf76U8tL95EecbA,https://www.youtube.com/channel/UCat40E88Mf76U8tL95EecbA,2018-07-24 17:56:12+00:00,,29,358,15006
sindicatocirculacion,Sindicato de Circulación Ferroviario (SCF),,,spain,UCnMkqvPlhx22OBAM42PEfNw,https://www.youtube.com/channel/UCnMkqvPlhx22OBAM42PEfNw,2013-03-14 12:08:09+00:00,"Sindicato profesional dedicado a la defensa de los trabajadores de control de tráfico ferroviario en Estaciones y Puestos de Mando en ADIF, FEVE y FGV.",12,13,919
SECBCaixaBank,Sindicato de Empleados de CaixaBank (SECB),,SECB CaixaBank,spain,UC-aYwcJJPkpICHT4qP-ClVg,https://www.youtube.com/channel/UC-aYwcJJPkpICHT4qP-ClVg,2014-11-05 07:43:42+00:00,"El SECB es el sindicato de los empleados de CaixaBank. Se constituyó en el año 1976. Practicamos un sindicalismo independiente basado de forma exclusiva en defender los intereses de los empleados y empleadas de CaixaBank, afrontando los posibles problemas que les puedan afectar en su entorno laboral y mejorando sus derechos y garantías. Todo ello con independencia de cualquier partidismo o grupo político de poder.",96,899,87928
sindicatoferroviariofgvint5688,Sindicato Ferroviario Fgv Intersindical Valenciana,,,spain,UCL8WNy7JqKpSxVw-6ftAaaw,https://www.youtube.com/channel/UCL8WNy7JqKpSxVw-6ftAaaw,2014-08-22 16:08:20+00:00,,13,28,548
sindicatoindependientedela3703,Sindicato Independiente de la Energía,,,spain,UCt3eeyqy4Mq9SRz2czZOlhA,https://www.youtube.com/channel/UCt3eeyqy4Mq9SRz2czZOlhA,2019-10-23 14:54:40.211105+00:00,,1,1,69
sindicatoferroviario59,Sindicato Ferroviario,,,spain,UCkoZ6ml3q37qh2LnAYjWWWg,https://www.youtube.com/channel/UCkoZ6ml3q37qh2LnAYjWWWg,2022-02-03 07:18:03.340707+00:00,"Somos el Sindicato Ferroviario de la Confederación Intersindical, la alternativa sindical de clase en el sector ferroviario. ¡Afilíate y defiende tus derechos! 

#SFcreciendocontigo

🌍 www.sindicatoferroviario.com
📷 @sindicatoferroviario
🐤 @SFIntersindical",6,26,168
cesmsindicatomedicocastill7348,CESM Sindicato Médico Castilla La Mancha,,,spain,UC_AjXwdO3pgbov6l1EPesvA,https://www.youtube.com/channel/UC_AjXwdO3pgbov6l1EPesvA,2019-02-16 17:24:27+00:00,,15,21,402
sindicatosolidaridad5537,Sindicato Solidaridad,,,spain,UCrUaSm-iAM_ytLwxN3z4F9A,https://www.youtube.com/channel/UCrUaSm-iAM_ytLwxN3z4F9A,2020-08-25 07:07:56.213691+00:00,"Canal oficial del Sindicato Solidaridad.

Síguenos en 
Facebook: https://www.facebook.com/solidaridad.esp
Twitter: https://twitter.com/solidaridad_esp
Instagram: https://www.instagram.com/solidaridad__es",76,2840,59274
SindicatodeTrabajadores,Sindicato de Trabajadores,,,spain,UC5WVvKWchQaw6PegTWXeQ9Q,https://www.youtube.com/channel/UC5WVvKWchQaw6PegTWXeQ9Q,2010-11-09 17:00:19+00:00,Canal Youtube oficial del Sindicato de Trabajadores. Para más información visitad la web www.str.es o escribirnos un correo a nuestro mail info@str.es,36,781,100458
semaf1926,Sindicato Español de Maquinistas y Ayudantes Ferroviarios,,SEMAF,spain,UCupCr9GpP0R8b-eP-IZaBpg,https://www.youtube.com/channel/UCupCr9GpP0R8b-eP-IZaBpg,2017-11-10 14:39:20+00:00,Canal de Vídeo del Sindicato Español de Maquinistas y Ayudantes Ferroviarios,10,368,7130
anpecomunidadvalencianasin9507,ANPE COMUNIDAD VALENCIANA SINDICATO INDEPENDIENTE,,,spain,UCFuFdLEQTP0p4mtahQ4OkCg,https://www.youtube.com/channel/UCFuFdLEQTP0p4mtahQ4OkCg,2018-11-20 19:25:25+00:00,,87,1080,58712
LABREGXSdaGALIZA,Sindicato Labrego Galego (SLG-CC.LL.),,LABREGXSdaGALIZA,spain,UCpuM_5g_dIReFyNDHIbWkSQ,https://www.youtube.com/channel/UCpuM_5g_dIReFyNDHIbWkSQ,2008-11-19 10:24:55+00:00,,240,363,99701
SindicatoSGTEX,Sindicato de Empleados Públicos SGTEX,,,spain,UC_7bSLo3CWCtiHyXHKpIjKQ,https://www.youtube.com/channel/UC_7bSLo3CWCtiHyXHKpIjKQ,2020-10-08 12:16:38.240661+00:00,En este canal puedes ver vídeos de las acciones emprendidas por SGTEX en favor de los intereses de los Empleados Públicos de Extremadura,7,5,168
fsoc13,Frente Sindical Obrero de Canarias,,,spain,UCKvJ9-VGkSEcxxm8u0cl3Bw,https://www.youtube.com/channel/UCKvJ9-VGkSEcxxm8u0cl3Bw,2011-10-25 17:05:33+00:00,"Nuestra página web:
http://www.sindicatoobrerocanario.org/index.php",29,49,8279
CEPcanaltv,Confederación Española de Policía (CEP),,CEPcanaltv,spain,UC8gzZaBgvA6xkSMt_yB5IeA,https://www.youtube.com/channel/UC8gzZaBgvA6xkSMt_yB5IeA,2011-11-20 11:04:23+00:00,Canal Youtube de la Confederación Española de Policía,236,541,107367
sup_policia3878,Sindicato Unificado de Policía (SUP),,SUP_Policia,spain,UCaf_5vWHxlwSBIQnpwGKC-A,https://www.youtube.com/channel/UCaf_5vWHxlwSBIQnpwGKC-A,2018-01-05 09:35:35+00:00,,742,1460,596575
solidaridadpostaltv,Solidaridad Postal Sindicato,,solidaridadpostaltv,spain,UC1ADO9BeU8LiQr6314ijcKw,https://www.youtube.com/channel/UC1ADO9BeU8LiQr6314ijcKw,2011-09-22 04:21:03+00:00,"BIENVENIDA  AL CANAL DE  SOLIDARIDAD POSTAL-SSP www.solidaridadpostal.com
El Sindicato Solidaridad Postal-SSP  pone a vuestra disposición este CANAL i nuestra Web/Blogger/Facebook/Twitter/..... para facilitaros a todos/as los trabajadores/as especialmente al sector que convivimos en Correos SAE un canal de comunicación recíproco, queremos que esta página, tu página, sea algo más que un tablón de anuncios de noticias de vuestro interés. 
Necesitamos de vuestra participación para saber la realidad diaria en vuestros centros de trabajo, que sirva de denuncia, foro y generadora de propuestas alternativas y reivindicaciones.
Muchas veces nos sentimos solos e incomprendidos, con sobrecarga de trabajo, agotados y con miedo a perder el empleo o que no nos renueven el contrato, un informe negativo de tu jefe...es hora de pasar a la acción y la defensa de nuestros intereses en los tribunales es imprescindible. 
Ofrecemos la mejor defensa jurídica, nos avalan las sentencias ganadas contra Correos y otras empresas , alguien los tiene que parar con las manos limpias.¡ Estar seguros de nuestra SOLIDARIDAD, no estás solo!
Ayúdanos a mejorar nuestra actividad sindical. El Sindicato Solidaridad Postal es una opción seria y responsable frente a los recortes laborales y sociales de la reforma laboral.
Llevamos desde  el año 1993 , cumpliendo con nuestras obligaciones de defender al trabajador y trabajadora mediante la actividad sindical, recomendandoles acciones judídicas y no jurídicas contra las imperfecciones de nuestros jefecillos....y demas gente que se apropian de nuestros derechos como trabajadores.
Mejoremos juntos las condiciones de trabajo en la reivindicación permanente, sin ataduras, sin subvenciones, desde tu fuerza y la ayuda mutua-SOLIDARIDAD.
Solidaridad Postal ,Tu alternativa sindical juridica laboral.
SSP.",1,7,38
somossindicalistas3248,Somos Sindicalistas,,,spain,UCGHyb76T8Q3mwnfbpOQLJXA,https://www.youtube.com/channel/UCGHyb76T8Q3mwnfbpOQLJXA,2020-11-19 20:24:06.074898+00:00,"Canal Oficial del Sindicato Somos Sindicalistas.
C/José Paulete 20 Madrid 28038.
Tlf 911446266. 693949661, 693 28 77 32",21,178,8874
sindicatotace,Técnicos Audiovisuales y Cinematográficos del Estado Español (TACEE),,Sindicato TACE,spain,UCQbPPAtqbY722nfo97xS1wQ,https://www.youtube.com/channel/UCQbPPAtqbY722nfo97xS1wQ,2010-02-15 18:54:27+00:00,Vídeos relacionados con la actividad del Sindicato TACEE,9,26,4676
uniopagesoscatalunya,Unió de Pagesos de Catalunya,,,spain,UCsT0V1OTgqH4ksEBG_Ofa7w,https://www.youtube.com/channel/UCsT0V1OTgqH4ksEBG_Ofa7w,2013-01-09 10:04:03+00:00,"L'activitat d'Unió de Pagesos, les iniciatives dels professionals agraris i les veus d'experts a Youtube",330,1430,93890
